AlertId,TransactionId,CardId,CustomerId,AlertType,Severity,AlertDate,Resolution,InvestigatorNotes
ALERT001,TXN006,CARD004,CUST003,High Value Gambling,Critical,2025-12-03T22:31:00,Confirmed Fraud,Card compromised - offshore gambling site. Customer confirmed unauthorized.
ALERT002,TXN007,CARD004,CUST003,Suspicious Wire Transfer,Critical,2025-12-03T23:46:00,Confirmed Fraud,Wire to high-risk country following gambling loss. Same fraud ring.
ALERT003,TXN010,CARD007,CUST005,Offshore Gambling,High,2025-12-04T21:01:00,Under Investigation,Repeated gambling pattern. Customer has history of disputes.
ALERT004,TXN011,CARD007,CUST005,Unusual ATM Location,Critical,2025-12-04T21:16:00,Confirmed Fraud,ATM withdrawal in Lagos 15 mins after online gambling from US IP.
ALERT005,TXN012,CARD008,CUST005,Large Wire Transfer,Critical,2025-12-05T03:21:00,Confirmed Fraud,Unauthorized wire to Ukraine. Device DEV005 compromised.
ALERT006,TXN016,CARD011,CUST007,High Risk Gaming,High,2025-12-06T09:16:00,False Positive,Customer confirmed legitimate gaming purchase. Pattern noted.
ALERT007,TXN020,CARD015,CUST009,Crypto Exchange Alert,Critical,2025-12-07T16:46:00,Confirmed Fraud,Large crypto purchase - customer denies. Account takeover suspected.
ALERT008,TXN021,CARD015,CUST009,Suspicious ATM,Critical,2025-12-07T17:01:00,Confirmed Fraud,Moscow ATM withdrawal 15 mins after UK crypto purchase. Impossible travel.
ALERT009,TXN026,CARD020,CUST015,Offshore Gambling,Critical,2025-12-09T02:31:00,Confirmed Fraud,Suspended card used at offshore gambling. Fraud confirmed.
ALERT010,TXN029,CARD023,CUST018,Crypto Velocity,High,2025-12-10T10:21:00,Under Investigation,Multiple crypto purchases in 24hrs. Awaiting customer response.
ALERT011,TXN030,CARD023,CUST018,Wire Following Crypto,Critical,2025-12-10T10:46:00,Confirmed Fraud,Wire transfer 25 mins after crypto. Customer confirmed compromised.
ALERT012,TXN032,CARD025,CUST020,Unusual ATM Activity,High,2025-12-10T04:16:00,Under Investigation,Early morning ATM in Moscow. Customer traveling - verifying.
ALERT013,TXN036,CARD029,CUST024,High Risk Gaming,High,2025-12-11T20:31:00,False Positive,Legitimate gaming. Customer pre-authorized large purchases.
ALERT014,TXN044,CARD001,CUST001,Geographic Anomaly,Critical,2025-12-13T03:31:00,Confirmed Fraud,Card used in Lagos while customer in NY. Skimming suspected.
ALERT015,TXN045,CARD001,CUST001,Gambling After ATM,Critical,2025-12-13T03:46:00,Confirmed Fraud,Same fraud event - ATM then gambling in Cayman Islands.
ALERT016,TXN050,CARD011,CUST007,Repeated Crypto,Critical,2025-12-14T11:21:00,Under Investigation,Second large crypto in week. Previous was false positive - escalating.
ALERT017,TXN059,CARD024,CUST024,High Risk Wire,Critical,2025-12-16T04:01:00,Confirmed Fraud,Unauthorized wire to Ukraine. Same pattern as ALERT005.
ALERT018,TXN060,CARD024,CUST024,Linked ATM Fraud,Critical,2025-12-16T04:21:00,Confirmed Fraud,ATM Moscow 20 mins after wire. Organized fraud ring.
ALERT019,TXN065,CARD029,CUST024,Offshore Gambling,High,2025-12-17T21:46:00,Under Investigation,Third gambling alert this month. Reviewing account.
ALERT020,TXN071,CARD035,CUST018,Crypto Pattern,High,2025-12-19T10:01:00,False Positive,Business account - verified crypto trading company.
ALERT021,TXN073,CARD004,CUST003,Gaming Reactivation,High,2025-12-19T19:31:00,Under Investigation,Previously fraud card reissued - gaming detected again.
ALERT022,TXN075,CARD007,CUST005,Wire High Risk,Critical,2025-12-19T02:46:00,Confirmed Fraud,Another wire from compromised account. Card blocked permanently.
ALERT023,TXN076,CARD008,CUST005,ATM Fraud Pattern,Critical,2025-12-19T03:01:00,Confirmed Fraud,Linked to ALERT022. Same device DEV005 - confirmed compromised.
ALERT024,TXN078,CARD015,CUST009,Gambling Reoccurrence,Critical,2025-12-20T23:16:00,Confirmed Fraud,Third fraud on this card. Account closed.
ALERT025,TXN079,CARD020,CUST015,Crypto from Suspended,Critical,2025-12-20T14:01:00,Confirmed Fraud,How was suspended card used? System breach investigation opened.
