ProductId,ProductName,UPC,UnitPrice,UnitCost,ShelfLife,CategoryId,SupplierId
PRD001,Organic Bananas,012345678901,1.99,0.89,7,CAT001,SUP001
PRD002,Red Apples 3lb Bag,012345678902,4.99,2.50,14,CAT001,SUP001
PRD003,Fresh Spinach 10oz,012345678903,3.49,1.75,5,CAT001,SUP009
PRD004,Whole Milk Gallon,012345678904,4.29,2.15,10,CAT002,SUP002
PRD005,Greek Yogurt 32oz,012345678905,5.99,3.00,21,CAT002,SUP002
PRD006,Sharp Cheddar Block,012345678906,6.49,3.25,30,CAT002,SUP010
PRD007,Frozen Pizza Supreme,012345678907,7.99,4.00,180,CAT003,SUP003
PRD008,Ice Cream Vanilla Qt,012345678908,5.49,2.75,120,CAT003,SUP003
PRD009,Frozen Vegetables Mix,012345678909,3.29,1.65,240,CAT003,SUP003
PRD010,Sourdough Bread Loaf,012345678910,4.49,2.25,5,CAT004,SUP004
PRD011,Croissants 6-Pack,012345678911,5.99,3.00,3,CAT004,SUP004
PRD012,Whole Wheat Bread,012345678912,3.99,2.00,7,CAT004,SUP004
PRD013,Ground Beef 1lb,012345678913,6.99,3.50,5,CAT005,SUP005
PRD014,Chicken Breast 2lb,012345678914,9.99,5.00,5,CAT005,SUP005
PRD015,Pork Chops 4-Pack,012345678915,8.49,4.25,5,CAT005,SUP005
PRD016,Atlantic Salmon Fillet,012345678916,12.99,6.50,3,CAT006,SUP006
PRD017,Shrimp 1lb Bag,012345678917,14.99,7.50,4,CAT006,SUP006
PRD018,Tilapia Fillets 1lb,012345678918,8.99,4.50,4,CAT006,SUP006
PRD019,Canned Tomatoes 28oz,012345678919,2.49,1.25,730,CAT007,SUP007
PRD020,Black Beans 15oz,012345678920,1.29,0.65,730,CAT007,SUP007
PRD021,Chicken Soup 18oz,012345678921,2.99,1.50,730,CAT007,SUP007
PRD022,Orange Juice 64oz,012345678922,4.99,2.50,14,CAT008,SUP008
PRD023,Sparkling Water 12pk,012345678923,5.99,3.00,365,CAT008,SUP008
PRD024,Organic Apple Juice,012345678924,4.49,2.25,90,CAT008,SUP008
PRD025,Baby Carrots 1lb,012345678925,2.99,1.50,14,CAT001,SUP009
PRD026,Avocados 4-Pack,012345678926,5.99,3.00,5,CAT001,SUP001
PRD027,Butter Unsalted 1lb,012345678927,5.49,2.75,60,CAT002,SUP002
PRD028,Bacon Strips 16oz,012345678928,7.99,4.00,21,CAT005,SUP005
