InventoryId,StoreId,ProductId,QuantityOnHand,ReorderLevel,LastRestocked
INV001,STR001,PRD001,450,100,2025-12-01T00:00:00
INV002,STR001,PRD002,280,75,2025-12-02T00:00:00
INV003,STR001,PRD003,180,50,2025-12-01T00:00:00
INV004,STR001,PRD004,320,100,2025-12-03T00:00:00
INV005,STR001,PRD014,140,40,2025-12-01T00:00:00
INV006,STR002,PRD004,380,100,2025-12-03T00:00:00
INV007,STR002,PRD005,230,60,2025-12-01T00:00:00
INV008,STR002,PRD006,140,40,2025-12-04T00:00:00
INV009,STR002,PRD013,180,50,2025-11-20T00:00:00
INV010,STR003,PRD007,550,150,2025-11-15T00:00:00
INV011,STR003,PRD008,380,100,2025-11-20T00:00:00
INV012,STR003,PRD009,720,200,2025-11-10T00:00:00
INV013,STR003,PRD016,90,30,2025-11-22T00:00:00
INV014,STR004,PRD010,85,25,2025-12-05T00:00:00
INV015,STR004,PRD011,70,20,2025-12-06T00:00:00
INV016,STR004,PRD012,110,35,2025-12-04T00:00:00
INV017,STR004,PRD005,200,60,2025-12-02T00:00:00
INV018,STR005,PRD013,180,50,2025-12-05T00:00:00
INV019,STR005,PRD014,135,40,2025-12-06T00:00:00
INV020,STR005,PRD015,160,45,2025-12-05T00:00:00
INV021,STR005,PRD026,155,40,2025-12-02T00:00:00
INV022,STR006,PRD016,90,30,2025-12-07T00:00:00
INV023,STR006,PRD017,105,35,2025-12-06T00:00:00
INV024,STR006,PRD018,135,40,2025-12-07T00:00:00
INV025,STR006,PRD011,80,20,2025-12-03T00:00:00
INV026,STR007,PRD019,920,250,2025-11-01T00:00:00
INV027,STR007,PRD020,740,200,2025-11-05T00:00:00
INV028,STR007,PRD021,550,150,2025-11-10T00:00:00
INV029,STR007,PRD018,120,35,2025-12-06T00:00:00
INV030,STR008,PRD022,280,75,2025-12-01T00:00:00
INV031,STR008,PRD023,460,120,2025-10-01T00:00:00
INV032,STR008,PRD024,370,100,2025-11-15T00:00:00
INV033,STR008,PRD017,130,35,2025-12-04T00:00:00
INV034,STR009,PRD025,320,80,2025-12-02T00:00:00
INV035,STR009,PRD026,180,50,2025-12-05T00:00:00
INV036,STR009,PRD027,230,60,2025-11-20T00:00:00
INV037,STR010,PRD028,165,45,2025-12-01T00:00:00
INV038,STR010,PRD001,370,100,2025-12-03T00:00:00
INV039,STR010,PRD022,245,65,2025-12-05T00:00:00
INV040,STR011,PRD004,330,90,2025-12-04T00:00:00
INV041,STR011,PRD013,135,40,2025-12-02T00:00:00
INV042,STR011,PRD016,70,25,2025-12-05T00:00:00
INV043,STR012,PRD001,420,100,2025-12-01T00:00:00
INV044,STR012,PRD003,185,50,2025-12-03T00:00:00
INV045,STR012,PRD010,145,40,2025-12-04T00:00:00
INV046,STR001,PRD022,260,70,2025-12-02T00:00:00
INV047,STR002,PRD019,480,130,2025-11-25T00:00:00
INV048,STR003,PRD025,290,75,2025-12-01T00:00:00
INV049,STR004,PRD028,150,40,2025-11-28T00:00:00
INV050,STR005,PRD007,410,110,2025-11-20T00:00:00
INV051,STR006,PRD004,295,80,2025-12-03T00:00:00
INV052,STR007,PRD001,380,100,2025-12-04T00:00:00
INV053,STR008,PRD013,170,50,2025-12-02T00:00:00
INV054,STR009,PRD007,350,90,2025-11-18T00:00:00
INV055,STR010,PRD019,520,140,2025-11-22T00:00:00
INV056,STR011,PRD022,210,55,2025-12-01T00:00:00
INV057,STR012,PRD028,130,35,2025-11-30T00:00:00
INV058,STR001,PRD007,480,130,2025-11-25T00:00:00
INV059,STR002,PRD010,95,30,2025-12-05T00:00:00
INV060,STR003,PRD013,195,55,2025-12-04T00:00:00
INV061,STR004,PRD022,225,60,2025-12-01T00:00:00
INV062,STR005,PRD004,310,85,2025-12-03T00:00:00
INV063,STR006,PRD001,400,105,2025-12-02T00:00:00
INV064,STR007,PRD028,145,40,2025-11-29T00:00:00
INV065,STR008,PRD003,175,50,2025-12-01T00:00:00
INV066,STR009,PRD016,85,28,2025-12-06T00:00:00
INV067,STR010,PRD010,110,35,2025-12-04T00:00:00
INV068,STR011,PRD025,275,70,2025-12-02T00:00:00
INV069,STR012,PRD007,390,105,2025-11-20T00:00:00
INV070,STR001,PRD028,160,45,2025-11-30T00:00:00
