FacilityId,FacilityName,Country,Region,FacilityType,Capacity,CertificationStatus
FAC001,Franklin Lakes HQ,United States,Americas,Manufacturing,50000000,ISO 13485 FDA Registered
FAC002,Sandy Utah Plant,United States,Americas,Manufacturing,35000000,ISO 13485 FDA Registered
FAC003,Columbus Nebraska Plant,United States,Americas,Manufacturing,40000000,ISO 13485 FDA Registered
FAC004,Holdrege Nebraska Plant,United States,Americas,Manufacturing,25000000,ISO 13485 FDA Registered
FAC005,Sumter South Carolina Plant,United States,Americas,Manufacturing,30000000,ISO 13485 FDA Registered
FAC006,Tuas Singapore Plant,Singapore,APAC,Manufacturing,45000000,ISO 13485 CE Marked
FAC007,Drogheda Ireland Plant,Ireland,EMEA,Manufacturing,38000000,ISO 13485 CE Marked
FAC008,Fraga Spain Plant,Spain,EMEA,Manufacturing,28000000,ISO 13485 CE Marked
FAC009,Suzhou China Plant,China,APAC,Manufacturing,42000000,ISO 13485 NMPA
FAC010,Curitiba Brazil Plant,Brazil,Americas,Manufacturing,22000000,ISO 13485 ANVISA
FAC011,Bawal India Plant,India,APAC,Manufacturing,32000000,ISO 13485 CDSCO
FAC012,Plymouth UK Plant,United Kingdom,EMEA,Manufacturing,26000000,ISO 13485 MHRA
FAC013,Tijuana Mexico Plant,Mexico,Americas,Assembly,20000000,ISO 13485 COFEPRIS
FAC014,Mississauga Canada DC,Canada,Americas,Distribution,15000000,ISO 13485 Health Canada
FAC015,Heidelberg Germany Plant,Germany,EMEA,Manufacturing,24000000,ISO 13485 CE Marked
