SubmissionId,ProductId,Agency,SubmissionType,SubmissionStatus,SubmissionDate,ApprovalDate
REG001,PROD001,FDA,510(k),Approved,2020-03-15T00:00:00,2020-09-20T00:00:00
REG002,PROD001,EU MDR,CE Mark,Approved,2020-06-01T00:00:00,2021-01-15T00:00:00
REG003,PROD002,FDA,510(k),Approved,2019-08-10T00:00:00,2020-02-28T00:00:00
REG004,PROD002,Health Canada,Medical Device License,Approved,2020-04-01T00:00:00,2020-10-15T00:00:00
REG005,PROD003,FDA,510(k),Approved,2018-01-20T00:00:00,2018-07-10T00:00:00
REG006,PROD004,FDA,510(k),Approved,2017-05-15T00:00:00,2017-11-30T00:00:00
REG007,PROD005,FDA,510(k),Approved,2016-09-01T00:00:00,2017-03-15T00:00:00
REG008,PROD005,EU MDR,CE Mark,Approved,2021-02-10T00:00:00,2021-08-25T00:00:00
REG009,PROD006,FDA,510(k),Approved,2016-11-20T00:00:00,2017-05-10T00:00:00
REG010,PROD007,FDA,510(k) Exempt,Approved,2015-03-01T00:00:00,2015-03-15T00:00:00
REG011,PROD008,FDA,510(k) Exempt,Approved,2015-03-01T00:00:00,2015-03-15T00:00:00
REG012,PROD009,FDA,510(k),Approved,2018-07-20T00:00:00,2019-01-30T00:00:00
REG013,PROD009,EU MDR,CE Mark,Approved,2019-04-15T00:00:00,2020-02-10T00:00:00
REG014,PROD010,FDA,510(k),Approved,2017-02-28T00:00:00,2017-09-15T00:00:00
REG015,PROD011,FDA,510(k),Approved,2019-10-05T00:00:00,2020-04-20T00:00:00
REG016,PROD012,FDA,De Novo,Approved,2021-06-15T00:00:00,2022-03-10T00:00:00
REG017,PROD013,FDA,EUA,Approved,2020-04-01T00:00:00,2020-04-15T00:00:00
REG018,PROD014,EU MDR,CE Mark,Approved,2019-01-10T00:00:00,2019-09-25T00:00:00
REG019,PROD015,FDA,510(k),Approved,2018-04-20T00:00:00,2018-10-30T00:00:00
REG020,PROD016,FDA,510(k),Approved,2019-06-10T00:00:00,2020-01-15T00:00:00
REG021,PROD017,FDA,510(k),Approved,2020-08-25T00:00:00,2021-02-20T00:00:00
REG022,PROD018,FDA,510(k) Exempt,Approved,2016-05-10T00:00:00,2016-05-20T00:00:00
REG023,PROD019,FDA,510(k),Approved,2017-09-15T00:00:00,2018-03-30T00:00:00
REG024,PROD020,FDA,510(k),Approved,2018-11-01T00:00:00,2019-06-15T00:00:00
REG025,PROD001,TGA,Medical Device,Under Review,2025-01-10T00:00:00,
