EventId,BatchId,EventType,Severity,RootCause,EventStatus,EventDate,ResolutionDate,SubmissionId
QE001,BATCH003,NCR,Minor,Process Deviation,Closed,2025-01-22T10:30:00,2025-02-05T14:00:00,
QE002,BATCH006,Inspection,Minor,Routine Audit,Closed,2025-02-20T09:00:00,2025-02-20T17:00:00,
QE003,BATCH009,NCR,Major,Material Defect,Closed,2025-03-12T11:15:00,2025-04-01T16:30:00,
QE004,BATCH011,CAPA,Critical,Equipment Failure,In Progress,2025-02-25T08:45:00,,
QE005,BATCH013,Deviation,Minor,Documentation Error,Closed,2025-03-01T14:20:00,2025-03-08T10:00:00,
QE006,BATCH015,NCR,Major,Contamination Detected,Closed,2025-03-10T07:30:00,2025-03-25T15:45:00,
QE007,BATCH018,Inspection,Minor,Routine QC,Closed,2025-03-22T09:00:00,2025-03-22T16:00:00,
QE008,BATCH021,NCR,Critical,Sterility Failure,Open,2025-01-25T06:00:00,,REG025
QE009,BATCH021,CAPA,Critical,Sterility Failure,In Progress,2025-01-28T10:00:00,,
QE010,BATCH024,Deviation,Minor,Labeling Issue,Closed,2025-03-30T13:45:00,2025-04-02T11:00:00,
QE011,BATCH027,NCR,Critical,Component Failure,Open,2025-04-08T09:30:00,,
QE012,BATCH027,CAPA,Major,Component Failure,In Progress,2025-04-10T08:00:00,,
QE013,BATCH001,Inspection,Minor,Routine Audit,Closed,2025-01-18T09:00:00,2025-01-18T17:00:00,
QE014,BATCH007,NCR,Minor,Packaging Defect,Closed,2025-01-28T11:00:00,2025-02-10T14:30:00,
QE015,BATCH012,Deviation,Minor,Temperature Excursion,Closed,2025-02-02T06:15:00,2025-02-05T10:00:00,
QE016,BATCH016,NCR,Major,Dimensional OOS,Closed,2025-02-15T10:45:00,2025-03-01T16:00:00,
QE017,BATCH019,Inspection,Minor,Routine QC,Closed,2025-03-02T09:00:00,2025-03-02T17:00:00,
QE018,BATCH023,NCR,Minor,Visual Defect,Closed,2025-03-28T14:00:00,2025-04-05T11:30:00,
QE019,BATCH026,Deviation,Minor,Process Parameter,Closed,2025-03-20T08:30:00,2025-03-22T15:00:00,
QE020,BATCH029,Inspection,Minor,Supplier Audit,Closed,2025-04-14T09:00:00,2025-04-14T17:00:00,
